text,true_labels,predicted_labels,missed_labels,extra_labels,largest_decision_margin,source_name,source_type,technique_id,technique_name
APT-C-36 has used a fileless attack chain composed of three JavaScript code snippets to execute subsequent payloads.,execution,execution|stealth,,stealth,0.848891145107357,APT-C-36,intrusion-set,T1059.007,JavaScript
Latrodectus can send registration information to C2 via HTTP `POST`.,command-and-control,exfiltration,command-and-control,exfiltration,0.8474160324044644,Latrodectus,malware,T1071.001,Web Protocols
"During RedPenguin, UNC3886 used a passive backdoor to act as a libpcap-based packet sniffer.",credential-access|discovery,command-and-control|credential-access,discovery,command-and-control,0.843385611038184,RedPenguin,campaign,T1040,Network Sniffing
ShimRat has registered two registry keys for shim databases.,defense-impairment|persistence,credential-access|defense-impairment|persistence,,credential-access,0.8391508922034043,ShimRat,malware,T1112,Modify Registry
"During RedPenguin, UNC3886 created multiple strains of malware using names to mimic legitimate binaries such as appid, to, irad, lmpad, jdosd, and oemd.",stealth,resource-development|stealth,,resource-development,0.8328544702393822,RedPenguin,campaign,T1036.005,Match Legitimate Resource Name or Location
PAKLOG has utilized a simple encoding mechanism to encode characters in the buffer.,stealth,command-and-control,stealth,command-and-control,0.8313631468241854,PAKLOG,malware,T1027.013,Encrypted/Encoded File
"During RedPenguin, UNC3886 used an implant to delete logs associated with unauthorized access to targeted Junos OS devices.",stealth,initial-access|stealth,,initial-access,0.8305944452378969,RedPenguin,campaign,T1070.007,Clear Network Connection History and Configurations
FIN13 has harvested the NTDS.DIT file and leveraged the Impacket tool on the compromised domain controller to locally decrypt it.,credential-access,credential-access|stealth,,stealth,0.826056833126643,FIN13,intrusion-set,T1003.003,NTDS
Daggerfly has used PowerShell and BITSAdmin to retrieve follow-on payloads from external locations for execution on victim machines.,command-and-control,execution|persistence,command-and-control,execution|persistence,0.8254316241787502,Daggerfly,intrusion-set,T1105,Ingress Tool Transfer
Indrik Spider has used a service account to extract copies of the `Security` Registry hive.,discovery,persistence,discovery,persistence,0.824542335001152,Indrik Spider,intrusion-set,T1012,Query Registry
Daggerfly has used strategic website compromise to deliver a malicious link requiring user interaction.,execution,initial-access,execution,initial-access,0.8240184312630974,Daggerfly,intrusion-set,T1204.001,Malicious Link
NETWIRE can store its configuration information in the Registry under `HKCU:\Software\Netwire`.,stealth,defense-impairment|persistence,stealth,defense-impairment|persistence,0.8204505966479358,NETWIRE,malware,T1027.011,Fileless Storage
DarkTortilla can use `cmd.exe` to add registry keys for persistence.,execution,defense-impairment|persistence,execution,defense-impairment|persistence,0.820126725106517,DarkTortilla,malware,T1059.003,Windows Command Shell
Pupy can list local and remote shared drives and folders over SMB.,discovery,discovery|lateral-movement,,lateral-movement,0.819786578827054,Pupy,tool,T1135,Network Share Discovery
"NPPSPY captures credentials by recording them through an alternative network listener registered to the mpnotify.exe process, allowing for cleartext recording of logon information.",credential-access,collection|credential-access,,collection,0.8158818058858315,NPPSPY,tool,T1552,Unsecured Credentials
CrackMapExec can create a registry key using wdigest.,defense-impairment|persistence,persistence,defense-impairment,,0.8133643330779605,CrackMapExec,tool,T1112,Modify Registry
Blue Mockingbird has used wmic.exe and Windows Registry modifications to set the COR_PROFILER environment variable to execute a malicious DLL whenever a process loads the .NET CLR.,execution|stealth,defense-impairment|execution|persistence,stealth,defense-impairment|persistence,0.8109464904585886,Blue Mockingbird,intrusion-set,T1574.012,COR_PROFILER
Grandoreiro can monitor browser activity for online banking actions and display full-screen overlay images to block user access to the intended site or present additional data fields.,collection,discovery,collection,discovery,0.8099914010463978,Grandoreiro,malware,T1185,Browser Session Hijacking
AADInternals can register a device to Azure AD.,persistence|privilege-escalation,defense-impairment|discovery|persistence,privilege-escalation,defense-impairment|discovery,0.8070961662102889,AADInternals,tool,T1098.005,Device Registration
Empire has the ability to automatically send collected data back to the threat actors' C2.,exfiltration,collection|exfiltration,,collection,0.8070418562529031,Empire,tool,T1020,Automated Exfiltration
Akira deletes administrator accounts in victim networks prior to encryption.,impact,persistence|stealth,impact,persistence|stealth,0.8064269502942781,Akira,intrusion-set,T1531,Account Access Removal
TONESHELL has an exception handler that executes when ESET antivirus applications `ekrn.exe` and `egui.exe` are not found and directly injects its code into waitfor.exe using Native Windows API including `WriteProcessMemory` and `CreateRemoteThreadEx`.,stealth,execution|stealth,,execution,0.8063358820152834,TONESHELL,malware,T1480,Execution Guardrails
FIN6 has used Pastebin and Google Storage to host content for their operations.,command-and-control,resource-development,command-and-control,resource-development,0.805796453020009,FIN6,intrusion-set,T1102,Web Service
StrelaStealer variants only execute if the keyboard layout or language matches a set list of variables.,stealth,discovery,stealth,discovery,0.8042682818479703,StrelaStealer,malware,T1480,Execution Guardrails
APT29 has exploited CVE-2021-36934 to escalate privileges on a compromised host.,privilege-escalation,initial-access|privilege-escalation,,initial-access,0.8042353041230799,APT29,intrusion-set,T1068,Exploitation for Privilege Escalation
Grandoreiro can send data it retrieves to the C2 server.,exfiltration,command-and-control|exfiltration,,command-and-control,0.8037066962057646,Grandoreiro,malware,T1041,Exfiltration Over C2 Channel
TONESHELL has created a mutex to avoid duplicate execution.,stealth,execution|stealth,,execution,0.8023478986658067,TONESHELL,malware,T1480.002,Mutual Exclusion
OopsIE encodes data in hexadecimal format over the C2 channel.,command-and-control,command-and-control|exfiltration,,exfiltration,0.7989308188007126,OopsIE,malware,T1132.001,Standard Encoding
ShimRatReporter used several Windows API functions to gather information from the infected system.,execution,collection|execution,,collection,0.7963270130650549,ShimRatReporter,tool,T1106,Native API
FRP can support the use of a JSON configuration file.,execution,stealth,execution,stealth,0.7953228832520057,FRP,tool,T1059.007,JavaScript
xCaon has used the GetAdaptersInfo() API call to get the victim's MAC address.,discovery,discovery|execution,,execution,0.7949546022153084,xCaon,malware,T1016,System Network Configuration Discovery
"For Operation Spalax, the threat actors used packers that read pixel data from images contained in PE files' resource sections and build the next layer of execution from the data.",stealth,collection|stealth,,collection,0.7910039448819965,Operation Spalax,campaign,T1027.003,Steganography
Embargo has created persistence through the DLL variant of the MDeployer toolkit by creating a service called irnagentd that launches after the system is rebooted in Safe Mode.,persistence|privilege-escalation,execution|persistence|privilege-escalation,,execution,0.7902388152238988,Embargo,malware,T1543.003,Windows Service
Industroyer’s data wiper module writes zeros into the registry keys in SYSTEM\CurrentControlSet\Services to render a system inoperable.,impact,defense-impairment|persistence,impact,defense-impairment|persistence,0.7865884747137455,Industroyer,malware,T1489,Service Stop
HermeticWiper can disable pop-up information about folders and desktop items and delete Registry keys to hide malicious services.,stealth,defense-impairment,stealth,defense-impairment,0.785425312949465,HermeticWiper,malware,T1070,Indicator Removal
SeaDuke compressed data with zlib prior to sending it over C2.,collection,collection|command-and-control,,command-and-control,0.7845232559475551,SeaDuke,malware,T1560.002,Archive via Library
WinMM sets a WH_CBT Windows hook to search for and capture files on the victim.,discovery,collection|discovery,,collection,0.7834425850689399,WinMM,malware,T1083,File and Directory Discovery
"During C0015, the threat actors used a malicious HTA file that contained a mix of HTML and JavaScript/VBScript code.",execution,execution|stealth,,stealth,0.7831880164031321,C0015,campaign,T1059.005,Visual Basic
Javali has been delivered via malicious links embedded in e-mails.,initial-access,execution|initial-access,,execution,0.7826710834272945,Javali,malware,T1566.002,Spearphishing Link
"During C0015, the threat actors used a malicious HTA file that contained a mix of encoded HTML and JavaScript/VBScript code.",execution,execution|stealth,,stealth,0.782549030582104,C0015,campaign,T1059.007,JavaScript
"PlugX checks if VMware tools is running in the background by searching for any process named ""vmtoolsd"".",discovery|stealth,discovery,stealth,,0.7816467571287682,PlugX,malware,T1497.001,System Checks
Kapeka queries registry values for stored configuration information.,discovery,defense-impairment|discovery,,defense-impairment,0.7816400959584664,Kapeka,malware,T1012,Query Registry
AADInternals can create new Azure AD users.,persistence,persistence|privilege-escalation,,privilege-escalation,0.7806027911656994,AADInternals,tool,T1136.003,Cloud Account
"LAPSUS$ has payed employees, suppliers, and business partners of target organizations for credentials.",resource-development,reconnaissance,resource-development,reconnaissance,0.7793170669026521,LAPSUS$,intrusion-set,T1586.002,Email Accounts
Manjusaka data exfiltration takes place over HTTP channels.,exfiltration,command-and-control|exfiltration,,command-and-control,0.7784875217759368,Manjusaka,malware,T1041,Exfiltration Over C2 Channel
FIN6 has used malicious JavaScript to steal payment card data from e-commerce sites.,execution,collection|execution,,collection,0.7762606816130188,FIN6,intrusion-set,T1059.007,JavaScript
"During RedPenguin, UNC3886 leveraged JunoOS CLI queries to obtain the interface index which contains system and network details.",discovery,discovery|execution,,execution,0.7754449943893305,RedPenguin,campaign,T1016,System Network Configuration Discovery
Axiom has been observed using SQL injection to gain access to systems.,initial-access,initial-access|privilege-escalation,,privilege-escalation,0.7744551455558237,Axiom,intrusion-set,T1190,Exploit Public-Facing Application
MgBot includes modules capable of gathering information from USB thumb drives and CD-ROMs on the victim machine given a list of provided criteria.,collection,discovery,collection,discovery,0.773320674960114,MgBot,malware,T1025,Data from Removable Media
LockBit 2.0 can use the PowerShell module `InvokeGPUpdate` to modify Group Policy.,execution,defense-impairment|privilege-escalation,execution,defense-impairment|privilege-escalation,0.7723521986529154,LockBit 2.0,malware,T1059.001,PowerShell
Gazer can execute a task to download a file.,command-and-control,command-and-control|execution,,execution,0.7696392957329302,Gazer,malware,T1105,Ingress Tool Transfer
"ZIPLINE can identify a specific string in intercepted network traffic, `SSH-2.0-OpenSSH_0.3xx.`, to trigger its command functionality.",command-and-control|persistence|stealth,discovery,command-and-control|persistence|stealth,discovery,0.7671654600179498,ZIPLINE,malware,T1205,Traffic Signaling
Dtrack used hard-coded credentials to gain access to a network share.,initial-access|persistence|privilege-escalation|stealth,initial-access|lateral-movement|stealth,persistence|privilege-escalation,lateral-movement,0.7629352143199832,Dtrack,malware,T1078,Valid Accounts
AADInternals can steal users’ access tokens via phishing emails containing malicious links.,credential-access,initial-access,credential-access,initial-access,0.7574460335983888,AADInternals,tool,T1528,Steal Application Access Token
AADInternals can gather encryption keys from Azure AD services such as ADSync and Active Directory Federated Services servers.,credential-access,discovery,credential-access,discovery,0.7570774295428506,AADInternals,tool,T1552.004,Private Keys
Impacket modules like ntlmrelayx and smbrelayx can be used in conjunction with Network Sniffing and Name Resolution Poisoning and SMB Relay to gather NetNTLM credentials for Brute Force or relay attacks that can gain code execution.,collection|credential-access,credential-access,collection,,0.7566878892663416,Impacket,tool,T1557.001,Name Resolution Poisoning and SMB Relay
LAMEHUG can use SSH to transfer information to C2.,command-and-control,exfiltration|lateral-movement,command-and-control,exfiltration|lateral-movement,0.7564142942022991,LAMEHUG,malware,T1573.002,Asymmetric Cryptography
Lokibot embedded the commands schtasks /Run /TN \Microsoft\Windows\DiskCleanup\SilentCleanup /I inside a batch script.,execution|persistence|privilege-escalation,execution,persistence|privilege-escalation,,0.7514199783644494,Lokibot,malware,T1053.005,Scheduled Task
Some SeaDuke samples have a module to use pass the ticket with Kerberos for authentication.,lateral-movement,credential-access|lateral-movement,,credential-access,0.7484268636992752,SeaDuke,malware,T1550.003,Pass the Ticket
APT29 has created self-signed digital certificates to enable mutual TLS authentication for malware.,resource-development,defense-impairment|resource-development,,defense-impairment,0.7482504337253857,APT29,intrusion-set,T1587.003,Digital Certificates
FIN13 has compressed the dump output of compromised credentials with a 7zip binary.,collection,collection|stealth,,stealth,0.7465655442094329,FIN13,intrusion-set,T1560.001,Archive via Utility
KillDisk has used the FindNextFile command as part of its file deletion process.,discovery,stealth,discovery,stealth,0.7459438697099551,KillDisk,malware,T1083,File and Directory Discovery
"Regin appears to have functionality to sniff for credentials passed over HTTP, SMTP, and SMB.",credential-access|discovery,credential-access,discovery,,0.7454087624627115,Regin,malware,T1040,Network Sniffing
Kapeka utilizes WinAPI calls to gather victim system information.,execution,discovery,execution,discovery,0.7444837868153453,Kapeka,malware,T1106,Native API
Blue Mockingbird has used wmic.exe to set environment variables.,execution,execution|stealth,,stealth,0.7412728835617978,Blue Mockingbird,intrusion-set,T1047,Windows Management Instrumentation
KGH_SPY has been spread through Word documents containing malicious macros.,execution,execution|initial-access,,initial-access,0.7373193461003034,KGH_SPY,malware,T1204.002,Malicious File
BlackEnergy has run a plug-in on a victim to spread through the local network by using PsExec and accessing admin shares.,lateral-movement,initial-access|lateral-movement,,initial-access,0.735036532218085,BlackEnergy,malware,T1021.002,SMB/Windows Admin Shares
"Embargo has leveraged MDeployer to terminate the MS4Killer process, delete the decrypted payload files and a driver file dropped by MS4killer, and reboot the system.",stealth,impact|stealth,,impact,0.7308324644482193,Embargo,malware,T1070.004,File Deletion
NETWIRE can retrieve passwords from messaging and mail client applications.,credential-access,collection|credential-access,,collection,0.7283504918134631,NETWIRE,malware,T1555,Credentials from Password Stores
"During the 2025 Poland Wiper Attacks, the adversaries leveraged stolen credentials from on-premises environments to access cloud services.",initial-access|persistence|privilege-escalation|stealth,initial-access,persistence|privilege-escalation|stealth,,0.7227053138708128,2025 Poland Wiper Attacks,campaign,T1078.004,Cloud Accounts
"During C0015, the threat actors conducted a file listing discovery against multiple hosts to ensure locker encryption was successful.",discovery,discovery|impact,,impact,0.7218332715224802,C0015,campaign,T1083,File and Directory Discovery
SOUNDBITE is capable of modifying the Registry.,defense-impairment|persistence,persistence,defense-impairment,,0.7211686385564997,SOUNDBITE,malware,T1112,Modify Registry
"PAKLOG has collected a timestamp to log the precise time a key was pressed, formatted as %Y-%m-%d %H:%M:%S.",discovery,discovery|stealth,,stealth,0.7157208114590634,PAKLOG,malware,T1124,System Time Discovery
"Kali365 has delivered phishing emails with malicious PDF, Word, Excel, and PowerPoint attachments that direct victims to actor-controlled landing pages.",initial-access,execution|initial-access,,execution,0.7145690076805611,Kali365,malware,T1566.001,Spearphishing Attachment
"For C0015, the threat actors used DLL files that had invalid certificates.",defense-impairment,stealth,defense-impairment,stealth,0.7122853199282538,C0015,campaign,T1553.002,Code Signing
Troll Stealer creates and can execute a BAT script that will delete the malware.,stealth,execution|stealth,,execution,0.7077559736753599,Troll Stealer,malware,T1070.004,File Deletion
TrickBot has used an email with an Excel sheet containing a malicious macro to deploy the malware,initial-access,execution,initial-access,execution,0.7062100368758834,TrickBot,malware,T1566.001,Spearphishing Attachment
Javali has used embedded VBScript to download malicious payloads from C2.,execution,command-and-control|execution,,command-and-control,0.7034612544314723,Javali,malware,T1059.005,Visual Basic
Skidmap is a kernel-mode rootkit used for cryptocurrency mining.,impact,impact|stealth,,stealth,0.7033051434405547,Skidmap,malware,T1496.001,Compute Hijacking
KOPILUWAK can gather information from compromised hosts.,collection,discovery,collection,discovery,0.7011894292706051,KOPILUWAK,malware,T1005,Data from Local System
SMOKEDHAM has used Powershell to download UltraVNC and ngrok from third-party file sharing sites.,command-and-control,command-and-control|execution,,execution,0.7000988483483989,SMOKEDHAM,malware,T1105,Ingress Tool Transfer
FIN13 has leveraged `WMI` to move laterally within a compromised network via application servers and SQL servers.,lateral-movement,execution|lateral-movement,,execution,0.697862651058631,FIN13,intrusion-set,T1021.006,Windows Remote Management
"P8RAT has the ability to ""sleep"" for a specified time to evade detection.",discovery|stealth,discovery|exfiltration|stealth,,exfiltration,0.6954654514343387,P8RAT,malware,T1497.003,Time Based Checks
"Penquin will connect to C2 only after sniffing a ""magic packet"" value in TCP or UDP packets matching specific conditions.",command-and-control|persistence|stealth,command-and-control|stealth,persistence,,0.6905406687465442,Penquin,malware,T1205,Traffic Signaling
TrickBot collects email addresses from Outlook.,discovery,collection,discovery,collection,0.6866916357463373,TrickBot,malware,T1087.003,Email Account
LAPSUS$ has called victims' help desk to convince the support personnel to reset a privileged account’s credentials.,reconnaissance,persistence|stealth,reconnaissance,persistence|stealth,0.6866099170450394,LAPSUS$,intrusion-set,T1598.004,Spearphishing Voice
"EXOTIC LILY has gained execution through victims clicking on malicious LNK files contained within ISO files, which can execute hidden DLLs within the ISO.",execution,stealth,execution,stealth,0.6856383679040753,EXOTIC LILY,intrusion-set,T1204.002,Malicious File
APT-C-36 has disguised its scheduled tasks as those used by Google.,stealth,execution|stealth,,execution,0.6844834100506051,APT-C-36,intrusion-set,T1036.004,Masquerade Task or Service
"During the 2025 Poland Wiper Attacks, the adversaries set FortiGate scheduled tasks to run the adversary generated CLI scripts weekly.",execution|persistence|privilege-escalation,execution|persistence,privilege-escalation,,0.6844515327045037,2025 Poland Wiper Attacks,campaign,T1053,Scheduled Task/Job
"During the 2025 Poland Wiper Attacks, the adversaries utilized the Linux `dd` command to overwrite portions of the disks with random data.",execution,impact,execution,impact,0.6837354076360387,2025 Poland Wiper Attacks,campaign,T1059.004,Unix Shell
PlugX can use API hashing and modify the names of strings to evade detection.,stealth,defense-impairment|stealth,,defense-impairment,0.6806984938901214,PlugX,malware,T1027,Obfuscated Files or Information
"Agent.btz drops itself onto removable media devices and creates an autorun.inf file with an instruction to run that file. When the device is inserted into another system, it opens autorun.inf and loads the malware.",initial-access|lateral-movement,initial-access|persistence|privilege-escalation,lateral-movement,persistence|privilege-escalation,0.6775511205277325,Agent.btz,malware,T1091,Replication Through Removable Media
"APT29 targets dormant or inactive user accounts, accounts belonging to individuals no longer at the organization but whose accounts remain on the system, for access and persistence.",initial-access|persistence|privilege-escalation|stealth,persistence|stealth,initial-access|privilege-escalation,,0.6771050913479706,APT29,intrusion-set,T1078.003,Local Accounts
MirrorFace has abused a known Microsoft digital signature verification issues to append encrypted data to digital signatures that still appear to be validly signed.,defense-impairment,defense-impairment|stealth,,stealth,0.6764004351022979,MirrorFace,intrusion-set,T1553.002,Code Signing
"HAWKBALL has leveraged several Windows API calls to create processes, gather disk information, and detect debugger activity.",execution,discovery|execution,,discovery,0.6753372071498163,HAWKBALL,malware,T1106,Native API
REvil can obtain the token from the user that launched the explorer.exe process to avoid affecting the desktop of the SYSTEM user.,privilege-escalation|stealth,discovery|privilege-escalation|stealth,,discovery,0.6676369569097149,REvil,malware,T1134.001,Token Impersonation/Theft
"For Operation Dream Job, Lazarus Group gathered victim organization information to identify specific targets.",reconnaissance,discovery|reconnaissance,,discovery,0.667429822960804,Operation Dream Job,campaign,T1591,Gather Victim Org Information
Pacu can allowlist IP addresses in AWS GuardDuty.,defense-impairment,discovery,defense-impairment,discovery,0.6627334124104685,Pacu,tool,T1686.001,Cloud Firewall
FIN13 has logged the keystrokes of victims to escalate privileges.,collection|credential-access,collection|credential-access|privilege-escalation,,privilege-escalation,0.6594362642173506,FIN13,intrusion-set,T1056.001,Keylogging
Elise creates a file in AppData\Local\Microsoft\Windows\Explorer and stores all harvested data in that file.,collection,collection|stealth,,stealth,0.6592145696181404,Elise,malware,T1074.001,Local Data Staging
xCaon has leveraged native OS function calls to retrieve victim's network adapter's information using GetAdapterInfo() API.,execution,discovery,execution,discovery,0.6558966620510072,xCaon,malware,T1106,Native API
Emissary has the capability to execute the command net start to interact with services.,discovery,execution,discovery,execution,0.6558915742542483,Emissary,malware,T1007,System Service Discovery
PlugX has a module for capturing keystrokes per process including window titles.,collection|credential-access,credential-access,collection,,0.6553590758091723,PlugX,malware,T1056.001,Keylogging
BoomBox can encrypt data using AES prior to exfiltration.,stealth,collection,stealth,collection,0.652735176429637,BoomBox,malware,T1027,Obfuscated Files or Information
Agent.btz saves system information into an XML file that is then XOR-encoded.,collection,stealth,collection,stealth,0.6508867398443009,Agent.btz,malware,T1560.003,Archive via Custom Method
"Wingbird drops a malicious file (sspisrv.dll) alongside a copy of lsass.exe, which is used to register a service that loads sspisrv.dll as a driver. The payload of the malicious driver (located in its entry-point function) is executed when loaded by lsass.exe before the spoofed service becomes unstable and crashes.",persistence|privilege-escalation,stealth,persistence|privilege-escalation,stealth,0.6495969609168958,Wingbird,malware,T1547.008,LSASS Driver
FIN6 has removed files from victim machines.,stealth,collection|stealth,,collection,0.6472168941561326,FIN6,intrusion-set,T1070.004,File Deletion
Penquin can execute the command code do_upload to send files to C2.,exfiltration,command-and-control,exfiltration,command-and-control,0.647053199271712,Penquin,malware,T1041,Exfiltration Over C2 Channel
TONESHELL has used `GetForegroundWindow` to detect virtualization or sandboxes by calling the API twice and comparing each window handle.,discovery,discovery|stealth,,stealth,0.6447346918085035,TONESHELL,malware,T1010,Application Window Discovery
BPFDoor creates a zero byte PID file at `/var/run/haldrund.pid`. BPFDoor uses this file to determine if it is already running on a system to ensure only one instance is executing at a time.,stealth,discovery|stealth,,discovery,0.6441719039364994,BPFDoor,malware,T1480,Execution Guardrails
"To establish persistence, Truvasys adds a Registry Run key with a value ""TaskMgr"" in an attempt to masquerade as the legitimate Windows Task Manager.",stealth,persistence|privilege-escalation|stealth,,persistence|privilege-escalation,0.6441374246394356,Truvasys,malware,T1036.004,Masquerade Task or Service
"When it first starts, BADNEWS spawns a new thread to log keystrokes.",collection|credential-access,collection|credential-access|persistence|privilege-escalation,,persistence|privilege-escalation,0.6439691169880741,BADNEWS,malware,T1056.001,Keylogging
Lizar can migrate the loader into another process.,privilege-escalation|stealth,stealth,privilege-escalation,,0.6396373637707798,Lizar,malware,T1055,Process Injection
Crutch can monitor removable drives and exfiltrate files matching a given extension list.,collection,discovery|exfiltration,collection,discovery|exfiltration,0.6360159788152684,Crutch,malware,T1025,Data from Removable Media
The AshTag loader and AshenOrchestrator components can collect reconnaissance data from victim machines.,discovery,collection,discovery,collection,0.6297907545060544,AshTag,malware,T1082,System Information Discovery
UPSTYLE attempts to retrieve a non-existent webpage from the command and control server resulting in hidden commands sent via resulting error messages.,command-and-control,command-and-control|exfiltration,,exfiltration,0.6262448707501634,UPSTYLE,malware,T1665,Hide Infrastructure
LockBit 3.0 can use HTTP to send victim host information to C2.,command-and-control,command-and-control|exfiltration,,exfiltration,0.6230435515259273,LockBit 3.0,malware,T1071.001,Web Protocols
LAPSUS$ has gathered user identities and credentials to gain initial access to a victim's organization; the group has also called an organization's help desk to reset a target's credentials.,reconnaissance,initial-access|persistence|reconnaissance,,initial-access|persistence,0.6218853902090218,LAPSUS$,intrusion-set,T1589.001,Credentials
STARWHALE has the ability to hex-encode collected data from an infected host.,command-and-control,collection,command-and-control,collection,0.6215404590715923,STARWHALE,malware,T1132.001,Standard Encoding
OilBooster can use an actor-controlled OneDrive account for C2 communication and exfiltration.,exfiltration,command-and-control,exfiltration,command-and-control,0.6208465840814538,OilBooster,malware,T1041,Exfiltration Over C2 Channel
ShimRat has installed shim databases in the AppPatch folder.,persistence|privilege-escalation,persistence|privilege-escalation|stealth,,stealth,0.6194612977987821,ShimRat,malware,T1546.011,Application Shimming
"During C0015, the threat actors used WMI to load Cobalt Strike onto additional hosts within a compromised network.",lateral-movement,command-and-control|execution,lateral-movement,command-and-control|execution,0.6177992880920155,C0015,campaign,T1570,Lateral Tool Transfer
HyperBro has the ability to start and stop a specified service.,execution,execution|impact,,impact,0.6156185567824235,HyperBro,malware,T1569.002,Service Execution
"During RedPenguin, UNC3886 used malware implants to deobfuscate incoming C2 messages and encoded archives.",stealth,command-and-control|stealth,,command-and-control,0.6099345616684296,RedPenguin,campaign,T1140,Deobfuscate/Decode Files or Information
HermeticWiper can load drivers by creating a new service using the `CreateServiceW` API.,persistence|privilege-escalation,execution|privilege-escalation,persistence,execution,0.6066518149147268,HermeticWiper,malware,T1543.003,Windows Service
EnvyScout contains JavaScript code that can extract an encoded blob from its HTML body and write it to disk.,stealth,execution|stealth,,execution,0.6066115738282823,EnvyScout,malware,T1027.006,HTML Smuggling
TrickBot has used printf and file I/O loops to delay process execution as part of API hammering.,discovery|stealth,execution|stealth,discovery,execution,0.6016710544558973,TrickBot,malware,T1497.003,Time Based Checks
KillDisk overwrites the first sector of the Master Boot Record with “0x00”.,impact,impact|stealth,,stealth,0.5980990184628507,KillDisk,malware,T1561.002,Disk Structure Wipe
Crutch can use Dropbox to receive commands and upload stolen data.,command-and-control,command-and-control|exfiltration,,exfiltration,0.5958949778062747,Crutch,malware,T1102.002,Bidirectional Communication
"Daggerfly used Reg to dump the Security Account Manager (SAM), System, and Security Windows registry hives from victim machines.",discovery,credential-access,discovery,credential-access,0.5951590427334343,Daggerfly,intrusion-set,T1012,Query Registry
APT29 has embedded an ISO file within an HTML attachment that contained JavaScript code to initiate malware execution.,stealth,execution|stealth,,execution,0.5931904880349931,APT29,intrusion-set,T1027.006,HTML Smuggling
"Empire can automatically gather the username, domain name, machine name, and other information from a compromised system.",collection,collection|discovery,,discovery,0.5922167717198019,Empire,tool,T1119,Automated Collection
KillDisk has a ransomware component that encrypts files with an AES key that is also RSA-1028 encrypted.,impact,impact|stealth,,stealth,0.5909485009728255,KillDisk,malware,T1486,Data Encrypted for Impact
APT29 has conducted widespread scanning of target environments to identify vulnerabilities for exploit.,reconnaissance,discovery|reconnaissance,,discovery,0.5901993688769092,APT29,intrusion-set,T1595.002,Vulnerability Scanning
Koadic can retrieve the current content of the user clipboard.,collection,collection|discovery,,discovery,0.5893493980772362,Koadic,tool,T1115,Clipboard Data
TONESHELL has utilized TCP-based reverse shells.,command-and-control,command-and-control|execution,,execution,0.5837147371700954,TONESHELL,malware,T1095,Non-Application Layer Protocol
WastedLocker can execute itself as a service.,execution,execution|persistence|privilege-escalation,,persistence|privilege-escalation,0.5805083268130634,WastedLocker,malware,T1569.002,Service Execution
"As part of load balancing FRP can set `healthCheck.type = ""tcp""` or `healthCheck.type = ""http""` to check service status on specific hosts with TCPing or an HTTP request.",discovery,command-and-control|discovery,,command-and-control,0.5804650777476092,FRP,tool,T1046,Network Service Discovery
Pillowmint has encrypted stolen credit card information with AES and further encoded it with Base64.,collection,collection|stealth,,stealth,0.5796799303235675,Pillowmint,malware,T1560,Archive Collected Data
Qilin has created a scheduled task named TVInstallRestore to mimic TeamViewer.,stealth,execution|stealth,,execution,0.577236244491642,Qilin,malware,T1036.004,Masquerade Task or Service
SideCopy has collected browser information from a compromised host.,discovery,collection|discovery,,collection,0.5761209622903016,SideCopy,intrusion-set,T1518,Software Discovery
ShimRat has the capability to upload collected files to a C2.,collection,collection|exfiltration,,exfiltration,0.5753843035245492,ShimRat,malware,T1005,Data from Local System
"To move laterally on a victim network, FIN6 has used credentials stolen from various systems on which it gathered usernames and password hashes.",initial-access|persistence|privilege-escalation|stealth,credential-access,initial-access|persistence|privilege-escalation|stealth,credential-access,0.5736362053991069,FIN6,intrusion-set,T1078,Valid Accounts
"During the 2025 Poland Wiper Attacks, the adversaries copied volume shadow copies through executing `vssadmin` in order to dump the `NTDS.dit` file.",stealth,credential-access,stealth,credential-access,0.5707341424057526,2025 Poland Wiper Attacks,campaign,T1006,Direct Volume Access
AADInternals can be used to create SAML tokens using the AD Federated Services token signing certificate.,credential-access,credential-access|privilege-escalation,,privilege-escalation,0.5695453503707408,AADInternals,tool,T1606.002,SAML Tokens
"HermeticWiper has the ability to modify Registry keys to disable crash dumps, colors for compressed files, and pop-up information about folders and desktop items.",defense-impairment|persistence,defense-impairment,persistence,,0.5687143678316373,HermeticWiper,malware,T1112,Modify Registry
SeaDuke uses a module to execute Mimikatz with PowerShell to perform Pass the Ticket.,execution,execution|lateral-movement,,lateral-movement,0.5678603716443703,SeaDuke,malware,T1059.001,PowerShell
TA551 has used a DGA to generate URLs from executed macros.,command-and-control,execution,command-and-control,execution,0.5672447645629882,TA551,intrusion-set,T1568.002,Domain Generation Algorithms
"During Operation AkaiRyū, MirrorFace used compromised accounts to send spearphishing emails.",resource-development,initial-access,resource-development,initial-access,0.5663587478337022,Operation AkaiRyū,campaign,T1586.002,Email Accounts
LazyWiper can halt execution if `[System.Net.Dns]::GetHostName()` or `$env:COMPUTERNAME` contains `“pe-dc”`.,stealth,discovery|stealth,,discovery,0.5660917031571492,LazyWiper,malware,T1480,Execution Guardrails
Cuckoo Stealer can use `launchctl` to load a LaunchAgent for persistence.,execution,execution|privilege-escalation,,privilege-escalation,0.5639139352354673,Cuckoo Stealer,malware,T1569.001,Launchctl
